1YrT-BillYield,EarningsPerShare,DividendPerShare,CurrentS&P500,S&P500NextWeek
7.1,15.23,7.84,203.49,210.28900000000002
7.02,15.23,7.84,212.96,215.97
7.14,15.23,7.84,219.75900000000001,224.03900000000002
6.63,14.61,7.9,224.33900000000003,232.53900000000002
6.52,14.61,7.9,235.6,237.3
6.21,14.61,7.9,235.71,233.75
5.77,14.61,7.9,242.22,241.75
6.119,14.61,7.9,235.52,236.08
6.319,14.61,7.9,237.53900000000002,235.449
6.449,14.61,7.9,246.63,243.94
6.31,14.52,8.02,241.13,244.99
6.05,14.52,8.02,248.929,252.699
5.76,14.52,8.02,242.82,235.00900000000001
5.89,14.52,8.02,238.669,236.58900000000003
5.75,14.52,8.02,236.83900000000003,245.669
5.43,14.52,8.02,249.77,253.3
5.399,14.71,8.1,250.08,247.05900000000003
5.539,14.71,8.1,231.679,236.27900000000002
5.34,14.71,8.1,233.6,236.679
5.38,14.71,8.1,238.8,236.25900000000001
5.34,14.71,8.1,240.94,246.58
5.52,14.71,8.1,246.639,237.66
5.43,14.71,8.1,248.77,253.83
5.47,14.85,8.23,250.96,247.55900000000003
5.56,14.85,8.23,246.75,242.169
5.409,14.85,8.23,255.33,262.63599999999997
5.38,14.85,8.23,267.84,275.39599999999996
5.579,14.85,8.23,279.63599999999997,277.54
5.56,14.85,8.23,285.416,284.0
5.539,14.48,8.28,288.62,290.31
5.579,14.48,8.28,292.78,300.376
5.76,14.48,8.28,292.38599999999997,297.26
6.029,14.48,8.28,284.437,287.187
6.22,14.48,8.28,284.57,295.468
6.609,14.48,8.28,293.97900000000004,278.20799999999997
6.38,14.48,8.28,288.72900000000004,293.468
6.25,15.1,8.34,297.468,304.81
6.38,15.1,8.34,306.86,302.937
6.17,15.1,8.34,308.29,310.416
6.289,15.1,8.34,308.468,315.64599999999996
6.5,15.1,8.34,318.447,332.38599999999997
6.56,15.1,8.34,329.83,334.57
6.869,14.42,8.52,321.677,313.916
7.039,14.42,8.52,314.86,321.187
7.369,14.42,8.52,321.83,318.54
7.77,14.42,8.52,305.22900000000004,258.376
6.21,14.42,8.52,253.27900000000002,248.96
6.51,14.42,8.52,241.899,245.55
6.6,14.42,8.52,244.1,233.449
6.789,15.86,8.66,238.889,248.08
6.67,15.86,8.66,253.16,247.86
6.779,15.86,8.66,258.88599999999997,245.80900000000003
6.439,15.86,8.66,242.63,249.38
6.14,15.86,8.66,252.21,256.656
6.229,15.86,8.66,259.20799999999997,264.427
6.239,17.5,8.81,267.08,269.06
6.149,17.5,8.81,268.64599999999996,268.906
6.34,17.5,8.81,258.07,265.48900000000003
6.55,17.5,8.81,271.57,256.126
6.649,17.5,8.81,263.8,260.32
6.8,17.5,8.81,253.30900000000003,251.35
7.189,17.5,8.81,253.75900000000001,266.687
6.93,18.59,8.95,271.52,274.447
6.989,18.59,8.95,275.656,270.97900000000004
7.189,18.59,8.95,272.02,269.32
7.25,18.59,8.95,270.0,262.5
7.369,18.59,8.95,272.97900000000004,261.89599999999996
7.659,18.59,8.95,260.77,261.126
7.699,18.59,8.95,261.52,265.87
7.439,21.67,9.23,269.31,270.156
7.59,21.67,9.23,269.08,271.86
7.489,21.67,9.23,273.97900000000004,276.968
7.5,21.67,9.23,281.376,279.06
7.779,21.67,9.23,273.33,263.82
8.149,21.67,9.23,269.0,273.697
8.229,22.73,9.46,278.126,275.31
8.25,22.73,9.46,277.376,277.08
8.51,22.73,9.46,279.427,282.01
8.21,22.73,9.46,286.53,289.137
8.46,22.73,9.46,297.09,298.64599999999996
8.539,22.73,9.46,294.23900000000003,290.906
8.66,22.73,9.46,287.11,294.08
8.91,23.76,9.73,296.666,290.48900000000003
8.93,23.76,9.73,292.35,296.23900000000003
8.73,23.76,9.73,298.98900000000003,307.14599999999996
8.34,23.76,9.73,306.927,308.156
8.16,23.76,9.73,305.8,317.47900000000004
8.34,23.76,9.73,319.13599999999997,320.52
7.82,24.96,9.98,326.947,323.83
7.87,24.96,9.98,320.47900000000004,325.81
7.35,24.96,9.98,320.63599999999997,329.81
7.48,24.96,9.98,335.72900000000004,338.05
7.49,24.96,9.98,344.34,346.93699999999995
7.77,24.96,9.98,345.656,344.69699999999995
7.65,24.96,9.98,350.64599999999996,349.23900000000003
7.45,25.22,10.3,345.458,346.468
7.87,25.22,10.3,345.1,356.93699999999995
